店名,地址,網址,餐飲類型,來源清單,是否曾去過,距離住家(公里),人均消費預估(元),備註
一甲子餐飲,108台灣臺北市萬華區新起里康定路79號,https://www.google.com/maps/place/%E4%B8%80%E7%94%B2%E5%AD%90%E9%A4%90%E9%A3%B2/data=!4m2!3m1!1s0x3442a9a8056bcd4f:0x8f4c4821513d97e8,其他,DenQ,是,58.84,150,
大狗麵線（石牌店）,112台灣臺北市北投區振華里石牌路二段62號,https://www.google.com/maps/place/%E5%A4%A7%E7%8B%97%E9%BA%B5%E7%B7%9A%EF%BC%88%E7%9F%B3%E7%89%8C%E5%BA%97%EF%BC%89/data=!4m2!3m1!1s0x3442af054308f6d3:0xfe251322e90b7662,中式,DenQ,是,64.07,120,
大狗麵線（芝山店）,111台灣臺北市士林區德行里福華路162-2號1樓,https://www.google.com/maps/place/%E5%A4%A7%E7%8B%97%E9%BA%B5%E7%B7%9A%EF%BC%88%E8%8A%9D%E5%B1%B1%E5%BA%97%EF%BC%89/data=!4m2!3m1!1s0x3442af6826976b51:0x76a362ae1bbdc090,中式,DenQ,是,63.95,120,
懷舊中卷麵線,333004台灣桃園市龜山區大湖里文興路46號,https://www.google.com/maps/place/%E6%87%B7%E8%88%8A%E4%B8%AD%E5%8D%B7%E9%BA%B5%E7%B7%9A/data=!4m2!3m1!1s0x3442a7d80725d609:0x5c28ba69a8a26dab,中式,DenQ,是,47.73,120,
無名麵線糊豆花,302台灣新竹縣竹北市竹仁里中正東路69號號旁,https://www.google.com/maps/place/%E7%84%A1%E5%90%8D%E9%BA%B5%E7%B7%9A%E7%B3%8A%E8%B1%86%E8%8A%B1/data=!4m2!3m1!1s0x346836c26fc44681:0xbd5b1a01ddf242d4,中式,IG,是,4.98,120,智明
打鋼貴倪 創意食堂,300台灣新竹市東區育賢里民族路33-32號,https://www.google.com/maps/place/%E6%89%93%E9%8B%BC%E8%B2%B4%E5%80%AA+%E5%89%B5%E6%84%8F%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x346835b288b1445b:0x7629b4da846ce808,義式,IG,是,1.24,350,"智明
三杯雞義大利麵"
Seed Bakery 麵包籽 新竹光埔店,300台灣新竹市東區埔頂里慈濟路193號,https://www.google.com/maps/place/Seed+Bakery+%E9%BA%B5%E5%8C%85%E7%B1%BD+%E6%96%B0%E7%AB%B9%E5%85%89%E5%9F%94%E5%BA%97/data=!4m2!3m1!1s0x3468372d38e83579:0xc4cc424f29bed38,中式,IG,是,4.94,120,"智明
海鹽奶油卷"
貓的堅持（新竹店）創意輕藥膳養生料理,300台灣新竹市東區西大路63號,https://www.google.com/maps/place/%E8%B2%93%E7%9A%84%E5%A0%85%E6%8C%81%EF%BC%88%E6%96%B0%E7%AB%B9%E5%BA%97%EF%BC%89%E5%89%B5%E6%84%8F%E8%BC%95%E8%97%A5%E8%86%B3%E9%A4%8A%E7%94%9F%E6%96%99%E7%90%86/data=!4m2!3m1!1s0x346835005b53c5ff:0xac779dbfc7485ee4,其他,IG,是,2.29,150,小葉
劉家莊燜雞,305台灣新竹縣新埔鎮照門里九芎湖六鄰十六之二號,https://www.google.com/maps/place/%E5%8A%89%E5%AE%B6%E8%8E%8A%E7%87%9C%E9%9B%9E/data=!4m2!3m1!1s0x34683a407d359755:0x130a8bb00df1c4a0,其他,IG,是,14.0,150,
永晝手工義大利麵,"之一，1樓, No. 65號光復路一段525巷 East District, 東區新竹市台灣 300",https://www.google.com/maps/place/%E6%B0%B8%E6%99%9D%E6%89%8B%E5%B7%A5%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%BA%B5/data=!4m2!3m1!1s0x34683766d881cfbf:0x91dfd6e77bfeeb8e,義式,IG,是,5.48,350,
好日紫日式咖哩,300台灣新竹市東區北大路35號1F,https://www.google.com/maps/place/%E5%A5%BD%E6%97%A5%E7%B4%AB%E6%97%A5%E5%BC%8F%E5%92%96%E5%93%A9/data=!4m2!3m1!1s0x3468357f639e354b:0x27a600d11400474a,日式,IG,是,0.38,300,
8818 Pizza Restaurant 比薩屋,700台灣臺南市中西區南門里南門路60號,https://www.google.com/maps/place/8818+Pizza+Restaurant+%E6%AF%94%E8%96%A9%E5%B1%8B/data=!4m2!3m1!1s0x346e768067800ecb:0x58a1c6513ff4abae,義式,YTer,是,218.41,350,"夢多 MondoTV
志明/炸雞"
銘師父餐廳,973台灣花蓮縣吉安鄉太昌村明義六街38巷22號,https://www.google.com/maps/place/%E9%8A%98%E5%B8%AB%E7%88%B6%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x34689f9ea966570d:0x48717f4c2db48308,其他,YTer,是,108.64,150,賴爸/台式套餐
牛老大涮牛肉-高雄總店 /高雄必吃美食/火鍋/必比登推介,801台灣高雄市前金區長生里自強二路18號,https://www.google.com/maps/place/%E7%89%9B%E8%80%81%E5%A4%A7%E6%B6%AE%E7%89%9B%E8%82%89-%E9%AB%98%E9%9B%84%E7%B8%BD%E5%BA%97+%2F%E9%AB%98%E9%9B%84%E5%BF%85%E5%90%83%E7%BE%8E%E9%A3%9F%2F%E7%81%AB%E9%8D%8B%2F%E5%BF%85%E6%AF%94%E7%99%BB%E6%8E%A8%E4%BB%8B/data=!4m2!3m1!1s0x346e047de299933d:0xa11b81fdb3980b6e,中式,YTer,是,253.49,450,ricky&nina 要預訂牛舌
