標題,筆記,網址,標籤,留言
,,,,
大王茶迷竹科店《推薦手搖》鮮奶茶專賣店｜茶飲推薦｜手搖外送｜團購飲料｜人氣手搖｜檸檬冰沙專賣店｜冰淇淋專賣店,,https://www.google.com/maps/place/%E5%A4%A7%E7%8E%8B%E8%8C%B6%E8%BF%B7%E7%AB%B9%E7%A7%91%E5%BA%97%E3%80%8A%E6%8E%A8%E8%96%A6%E6%89%8B%E6%90%96%E3%80%8B%E9%AE%AE%E5%A5%B6%E8%8C%B6%E5%B0%88%E8%B3%A3%E5%BA%97%EF%BD%9C%E8%8C%B6%E9%A3%B2%E6%8E%A8%E8%96%A6%EF%BD%9C%E6%89%8B%E6%90%96%E5%A4%96%E9%80%81%EF%BD%9C%E5%9C%98%E8%B3%BC%E9%A3%B2%E6%96%99%EF%BD%9C%E4%BA%BA%E6%B0%A3%E6%89%8B%E6%90%96%EF%BD%9C%E6%AA%B8%E6%AA%AC%E5%86%B0%E6%B2%99%E5%B0%88%E8%B3%A3%E5%BA%97%EF%BD%9C%E5%86%B0%E6%B7%87%E6%B7%8B%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m2!3m1!1s0x346837006b923b1f:0x76512cbbb44842e4,,
糖癮糖餅-新竹美食 新竹小吃 新竹下午茶 新竹甜品 新竹糖餅,,https://www.google.com/maps/place/%E7%B3%96%E7%99%AE%E7%B3%96%E9%A4%85-%E6%96%B0%E7%AB%B9%E7%BE%8E%E9%A3%9F+%E6%96%B0%E7%AB%B9%E5%B0%8F%E5%90%83+%E6%96%B0%E7%AB%B9%E4%B8%8B%E5%8D%88%E8%8C%B6+%E6%96%B0%E7%AB%B9%E7%94%9C%E5%93%81+%E6%96%B0%E7%AB%B9%E7%B3%96%E9%A4%85/data=!4m2!3m1!1s0x346835709211d907:0xcaa413920699e42d,,
果子家 | 煎餅果子（新竹園區店）點餐請用下面系統點餐,,https://www.google.com/maps/place/%E6%9E%9C%E5%AD%90%E5%AE%B6+%7C+%E7%85%8E%E9%A4%85%E6%9E%9C%E5%AD%90%EF%BC%88%E6%96%B0%E7%AB%B9%E5%9C%92%E5%8D%80%E5%BA%97%EF%BC%89%E9%BB%9E%E9%A4%90%E8%AB%8B%E7%94%A8%E4%B8%8B%E9%9D%A2%E7%B3%BB%E7%B5%B1%E9%BB%9E%E9%A4%90/data=!4m2!3m1!1s0x34683700209f23f9:0x7f9a4304a2a90fb2,,
Louisiana Famous Fried Chicken,,https://www.google.com/maps/place/Louisiana+Famous+Fried+Chicken/data=!4m2!3m1!1s0x3468379341a1726d:0xa0d57d7031b9bac8,,
Musa’’穆薩‘’咖喱印度甩餅-新竹店（休假會於臉書粉絲團公告）,ig,https://www.google.com/maps/place/Musa%E2%80%99%E2%80%99%E7%A9%86%E8%96%A9%E2%80%98%E2%80%99%E5%92%96%E5%96%B1%E5%8D%B0%E5%BA%A6%E7%94%A9%E9%A4%85-%E6%96%B0%E7%AB%B9%E5%BA%97%EF%BC%88%E4%BC%91%E5%81%87%E6%9C%83%E6%96%BC%E8%87%89%E6%9B%B8%E7%B2%89%E7%B5%B2%E5%9C%98%E5%85%AC%E5%91%8A%EF%BC%89/data=!4m2!3m1!1s0x346837f8ab322095:0x2292d6d6d2543c0e,,
舊是經典,,https://www.google.com/maps/place/%E8%88%8A%E6%98%AF%E7%B6%93%E5%85%B8/data=!4m2!3m1!1s0x34683671f3de4c2f:0x4b243d344dda703f,,
寶地花生醬 新竹伴手禮 冬季限量湯圓上市,,https://www.google.com/maps/place/%E5%AF%B6%E5%9C%B0%E8%8A%B1%E7%94%9F%E9%86%AC+%E6%96%B0%E7%AB%B9%E4%BC%B4%E6%89%8B%E7%A6%AE+%E5%86%AC%E5%AD%A3%E9%99%90%E9%87%8F%E6%B9%AF%E5%9C%93%E4%B8%8A%E5%B8%82/data=!4m2!3m1!1s0x346835971918cdef:0xe2bdc4db63d74fdd,,
嗨嗨雞蛋糕｜人生嗨嗨（提早售完即打烊）,ig,https://www.google.com/maps/place/%E5%97%A8%E5%97%A8%E9%9B%9E%E8%9B%8B%E7%B3%95%EF%BD%9C%E4%BA%BA%E7%94%9F%E5%97%A8%E5%97%A8%EF%BC%88%E6%8F%90%E6%97%A9%E5%94%AE%E5%AE%8C%E5%8D%B3%E6%89%93%E7%83%8A%EF%BC%89/data=!4m2!3m1!1s0x3468377d4d807ecf:0x4916f2f0925a2f7d,,
男子漢雞排（竹東店）,,https://www.google.com/maps/place/%E7%94%B7%E5%AD%90%E6%BC%A2%E9%9B%9E%E6%8E%92%EF%BC%88%E7%AB%B9%E6%9D%B1%E5%BA%97%EF%BC%89/data=!4m2!3m1!1s0x346847004623cc55:0xd4c175903966f826,,
