標題,筆記,網址,標籤,留言
,,,,
The Slice Shop,,https://www.google.com/maps/place/The+Slice+Shop/data=!4m2!3m1!1s0x3442abb3780b3cb5:0xf382cf0081d3e981,,
佐佧義式窯烤披薩屋,純正義式薄皮,https://www.google.com/maps/place/%E4%BD%90%E4%BD%A7%E7%BE%A9%E5%BC%8F%E7%AA%AF%E7%83%A4%E6%8A%AB%E8%96%A9%E5%B1%8B/data=!4m2!3m1!1s0x3442abcc96586839:0x698b2a2e01a24f4b,,
蔡 迪化街古早味蚵嗲,,https://www.google.com/maps/place/%E8%94%A1+%E8%BF%AA%E5%8C%96%E8%A1%97%E5%8F%A4%E6%97%A9%E5%91%B3%E8%9A%B5%E5%97%B2/data=!4m2!3m1!1s0x3442a91391ac8be7:0xae44a2cf44fa5da5,,
姚德和 青草號,,https://www.google.com/maps/place/%E5%A7%9A%E5%BE%B7%E5%92%8C+%E9%9D%92%E8%8D%89%E8%99%9F/data=!4m2!3m1!1s0x3442a9147ee9d47f:0x94e41e5cf24bfbe2,,
老竹子三發包子,,https://www.google.com/maps/place/%E8%80%81%E7%AB%B9%E5%AD%90%E4%B8%89%E7%99%BC%E5%8C%85%E5%AD%90/data=!4m2!3m1!1s0x3442a913880d53b5:0x2889d540101195ec,,
林合發油飯店,,https://www.google.com/maps/place/%E6%9E%97%E5%90%88%E7%99%BC%E6%B2%B9%E9%A3%AF%E5%BA%97/data=!4m2!3m1!1s0x3442a913890b7179:0x3de26de9acb7f42d,,
永樂車輪餅 | 古早味車輪餅,,https://www.google.com/maps/place/%E6%B0%B8%E6%A8%82%E8%BB%8A%E8%BC%AA%E9%A4%85+%7C+%E5%8F%A4%E6%97%A9%E5%91%B3%E8%BB%8A%E8%BC%AA%E9%A4%85/data=!4m2!3m1!1s0x3442a913880d53b5:0xd286ca4f37b73753,,
陳家糧舍,,https://www.google.com/maps/place/%E9%99%B3%E5%AE%B6%E7%B3%A7%E8%88%8D/data=!4m2!3m1!1s0x3442a90bfdf48b2b:0x34c8d5f4a49b0e67,,
夏樹甜品,,https://www.google.com/maps/place/%E5%A4%8F%E6%A8%B9%E7%94%9C%E5%93%81/data=!4m2!3m1!1s0x3442abbbd49806b5:0x6505e784294c8e13,,
賣麵炎仔,,https://www.google.com/maps/place/%E8%B3%A3%E9%BA%B5%E7%82%8E%E4%BB%94/data=!4m2!3m1!1s0x3442a93e17f677f7:0x436a32785a5bfc9b,,
大橋頭胡椒餅,,https://www.google.com/maps/place/%E5%A4%A7%E6%A9%8B%E9%A0%AD%E8%83%A1%E6%A4%92%E9%A4%85/data=!4m2!3m1!1s0x3442a93e529d2fe9:0x97b098936bc7baf2,,
滋養和菓子,草莓大福,https://www.google.com/maps/place/%E6%BB%8B%E9%A4%8A%E5%92%8C%E8%8F%93%E5%AD%90/data=!4m2!3m1!1s0x3442a96c7f213745:0xf87b55be5f35131f,,
阿角紅燒肉劉美麗,,https://www.google.com/maps/place/%E9%98%BF%E8%A7%92%E7%B4%85%E7%87%92%E8%82%89%E5%8A%89%E7%BE%8E%E9%BA%97/data=!4m2!3m1!1s0x3442a93fac43e0dd:0x390fb8e4044ff5b0,,
黄龍莊,,https://www.google.com/maps/place/%E9%BB%84%E9%BE%8D%E8%8E%8A/data=!4m2!3m1!1s0x3442a998fbe65f61:0xd9b06c0c092ed225,,
餓菱居,,https://www.google.com/maps/place/%E9%A4%93%E8%8F%B1%E5%B1%85/data=!4m2!3m1!1s0x3442abc8eed38787:0xa07ad8a807ac0c36,,
京鼎小館,,https://www.google.com/maps/place/%E4%BA%AC%E9%BC%8E%E5%B0%8F%E9%A4%A8/data=!4m2!3m1!1s0x3442abe8e5383533:0x7e7a83a63541962c,,
