標題,筆記,網址,標籤,留言
,,,,
三盛｜刺身 • 握壽司 • 壽司,,https://www.google.com/maps/place/%E4%B8%89%E7%9B%9B%EF%BD%9C%E5%88%BA%E8%BA%AB+%E2%80%A2+%E6%8F%A1%E5%A3%BD%E5%8F%B8+%E2%80%A2+%E5%A3%BD%E5%8F%B8/data=!4m2!3m1!1s0x346835002c6af6d7:0xd746fa3ffe3ea3eb,,
民權咔啦炸雞,thread/甩油,https://www.google.com/maps/place/%E6%B0%91%E6%AC%8A%E5%92%94%E5%95%A6%E7%82%B8%E9%9B%9E/data=!4m2!3m1!1s0x346835c501b741b1:0xc746a1715ae33ab,,
李美樂鹹水雞專賣店-新竹鹹水雞首選|巨城/湳雅/光華商圈鹹水雞專賣店|街邊美食|外帶美食|鹹水雞推薦|舒肥餐|必吃鹹水雞|人氣鹹水雞,,https://www.google.com/maps/place/%E6%9D%8E%E7%BE%8E%E6%A8%82%E9%B9%B9%E6%B0%B4%E9%9B%9E%E5%B0%88%E8%B3%A3%E5%BA%97-%E6%96%B0%E7%AB%B9%E9%B9%B9%E6%B0%B4%E9%9B%9E%E9%A6%96%E9%81%B8%7C%E5%B7%A8%E5%9F%8E%2F%E6%B9%B3%E9%9B%85%2F%E5%85%89%E8%8F%AF%E5%95%86%E5%9C%88%E9%B9%B9%E6%B0%B4%E9%9B%9E%E5%B0%88%E8%B3%A3%E5%BA%97%7C%E8%A1%97%E9%82%8A%E7%BE%8E%E9%A3%9F%7C%E5%A4%96%E5%B8%B6%E7%BE%8E%E9%A3%9F%7C%E9%B9%B9%E6%B0%B4%E9%9B%9E%E6%8E%A8%E8%96%A6%7C%E8%88%92%E8%82%A5%E9%A4%90%7C%E5%BF%85%E5%90%83%E9%B9%B9%E6%B0%B4%E9%9B%9E%7C%E4%BA%BA%E6%B0%A3%E9%B9%B9%E6%B0%B4%E9%9B%9E/data=!4m2!3m1!1s0x346835d110904d83:0xeae875ba81915bcd,,
唐人街茶餐廳,,https://www.google.com/maps/place/%E5%94%90%E4%BA%BA%E8%A1%97%E8%8C%B6%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x346915e4a63e2b11:0xb3cea5c7ded334ff,,
雙月食品社 竹北店,,https://www.google.com/maps/place/%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE+%E7%AB%B9%E5%8C%97%E5%BA%97/data=!4m2!3m1!1s0x346837004658f8d3:0x94c9bc2a7445e937,,
HOYA燒肉,,https://www.google.com/maps/place/HOYA%E7%87%92%E8%82%89/data=!4m2!3m1!1s0x3468370320e0019f:0x6a51fbf990f09399,,
小里子海鮮,,https://www.google.com/maps/place/%E5%B0%8F%E9%87%8C%E5%AD%90%E6%B5%B7%E9%AE%AE/data=!4m2!3m1!1s0x3442a949c4c78fe1:0x448b414b7582b95e,,
采宏牛肉麵-原建宏牛肉麵,,https://www.google.com/maps/place/%E9%87%87%E5%AE%8F%E7%89%9B%E8%82%89%E9%BA%B5-%E5%8E%9F%E5%BB%BA%E5%AE%8F%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442a90e656a081f:0x713c3942e872dca2,,
小吳牛肉麵,,https://www.google.com/maps/place/%E5%B0%8F%E5%90%B3%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442a90e8737b2f7:0x6b6ee112e9e7c58b,,
貝蛤蛤海鮮餐酒館-新竹店,,https://www.google.com/maps/place/%E8%B2%9D%E8%9B%A4%E8%9B%A4%E6%B5%B7%E9%AE%AE%E9%A4%90%E9%85%92%E9%A4%A8-%E6%96%B0%E7%AB%B9%E5%BA%97/data=!4m2!3m1!1s0x34683528a0009671:0xe078e6edd580136e,,
豪食,蒸蛋飯,https://www.google.com/maps/place/%E8%B1%AA%E9%A3%9F/data=!4m2!3m1!1s0x346835b1685eaf07:0x17b9592fd9310023,,
銀記手擀刀切牛肉麵,大碗,https://www.google.com/maps/place/%E9%8A%80%E8%A8%98%E6%89%8B%E6%93%80%E5%88%80%E5%88%87%E7%89%9B%E8%82%89%E9%BA%B5/data=!4m2!3m1!1s0x3442a97ca0f744ab:0x8673faa071b6a5c9,,
福哥石窯雞羅東店,走著走著,https://www.google.com/maps/place/%E7%A6%8F%E5%93%A5%E7%9F%B3%E7%AA%AF%E9%9B%9E%E7%BE%85%E6%9D%B1%E5%BA%97/data=!4m2!3m1!1s0x3467e506cbbe2741:0xfd0c89844a2140b0,,
榅燻Comfort Table Smoke BBQ(線上菜單已更新),煙燻牛胸/起司通心粉,https://www.google.com/maps/place/%E6%A6%85%E7%87%BBComfort+Table+Smoke+BBQ(%E7%B7%9A%E4%B8%8A%E8%8F%9C%E5%96%AE%E5%B7%B2%E6%9B%B4%E6%96%B0)/data=!4m2!3m1!1s0x34683778547b0de7:0xf1dc91b1141b1e3a,,
甘蔗王鳳梨王桶仔雞,,https://www.google.com/maps/place/%E7%94%98%E8%94%97%E7%8E%8B%E9%B3%B3%E6%A2%A8%E7%8E%8B%E6%A1%B6%E4%BB%94%E9%9B%9E/data=!4m2!3m1!1s0x346837c033db89f5:0x41a3b1a47fccd51d,,
煙癮Smoked BBQ,,https://www.google.com/maps/place/%E7%85%99%E7%99%AESmoked+BBQ/data=!4m2!3m1!1s0x3468359a3b56f57f:0x43b205eb8467f203,,
八田 手作油飯·豆花（國定假日公休）,波妞,https://www.google.com/maps/place/%E5%85%AB%E7%94%B0+%E6%89%8B%E4%BD%9C%E6%B2%B9%E9%A3%AF%C2%B7%E8%B1%86%E8%8A%B1%EF%BC%88%E5%9C%8B%E5%AE%9A%E5%81%87%E6%97%A5%E5%85%AC%E4%BC%91%EF%BC%89/data=!4m2!3m1!1s0x34683537c676f7a9:0x61c9c4c239c55d53,,
鰻丼作（公休日請見臉書動態）寵物友善餐廳,鐵牛,https://www.google.com/maps/place/%E9%B0%BB%E4%B8%BC%E4%BD%9C%EF%BC%88%E5%85%AC%E4%BC%91%E6%97%A5%E8%AB%8B%E8%A6%8B%E8%87%89%E6%9B%B8%E5%8B%95%E6%85%8B%EF%BC%89%E5%AF%B5%E7%89%A9%E5%8F%8B%E5%96%84%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x346e767cbabb6291:0xd667be72f2238988,,
野叔主廚私房料理,薄羽，刺蔥,https://www.google.com/maps/place/%E9%87%8E%E5%8F%94%E4%B8%BB%E5%BB%9A%E7%A7%81%E6%88%BF%E6%96%99%E7%90%86/data=!4m2!3m1!1s0x346835df94bc30b5:0x876fdd96780d660d,,
山口六家食堂,小葉,https://www.google.com/maps/place/%E5%B1%B1%E5%8F%A3%E5%85%AD%E5%AE%B6%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x34683702329d1955:0xce6e29cb48d5a5eb,,
阿男麻油雞,丁特,https://www.google.com/maps/place/%E9%98%BF%E7%94%B7%E9%BA%BB%E6%B2%B9%E9%9B%9E/data=!4m2!3m1!1s0x3442a9bb3aa961e7:0xd3b7b58a43d64245,,
瘋蝦吃到飽,,https://www.google.com/maps/place/%E7%98%8B%E8%9D%A6%E5%90%83%E5%88%B0%E9%A3%BD/data=!4m2!3m1!1s0x34693da88827b0ef:0x7e561dec6b753fcd,,
小曾擔舖,,https://www.google.com/maps/place/%E5%B0%8F%E6%9B%BE%E6%93%94%E8%88%96/data=!4m2!3m1!1s0x346837ec455e1cbf:0xd24f41c76fe5ad23,,
六家橋頭早餐,,https://www.google.com/maps/place/%E5%85%AD%E5%AE%B6%E6%A9%8B%E9%A0%AD%E6%97%A9%E9%A4%90/data=!4m2!3m1!1s0x34683657f97fb64f:0x5879c6796d1cef70,,
富士豬排 とんかつ富士 熟成豬排 小巨蛋店,萊斯,https://www.google.com/maps/place/%E5%AF%8C%E5%A3%AB%E8%B1%AC%E6%8E%92+%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4%E5%AF%8C%E5%A3%AB+%E7%86%9F%E6%88%90%E8%B1%AC%E6%8E%92+%E5%B0%8F%E5%B7%A8%E8%9B%8B%E5%BA%97/data=!4m2!3m1!1s0x3442ab11fba1b1a9:0xda8c58618ce2a8aa,,
IKIGAI 燒肉專門店-台中新朝富店,,https://www.google.com/maps/place/IKIGAI+%E7%87%92%E8%82%89%E5%B0%88%E9%96%80%E5%BA%97-%E5%8F%B0%E4%B8%AD%E6%96%B0%E6%9C%9D%E5%AF%8C%E5%BA%97/data=!4m2!3m1!1s0x34693dd4bfe6c9ef:0x4f8a630bb3b9adfe,,
