2022.08 結婚周年/黃金周

標題,筆記,網址,標籤,留言
,,,,
水仙宮粽葉米糕,米糕/滷菜/四神湯/痛風老饕,https://www.google.com/maps/place/%E6%B0%B4%E4%BB%99%E5%AE%AE%E7%B2%BD%E8%91%89%E7%B1%B3%E7%B3%95/data=!4m2!3m1!1s0x346e76641a55505b:0x90f4e2c42ae00d7b,,
七誠米粿,痛風老饕,https://www.google.com/maps/place/%E4%B8%83%E8%AA%A0%E7%B1%B3%E7%B2%BF/data=!4m2!3m1!1s0x346e773b450127b1:0xfa9be2c0019e3a5b,,
台南一味品碗粿魚羹,痛風老饕,https://www.google.com/maps/place/%E5%8F%B0%E5%8D%97%E4%B8%80%E5%91%B3%E5%93%81%E7%A2%97%E7%B2%BF%E9%AD%9A%E7%BE%B9/data=!4m2!3m1!1s0x346e7666ae3aab3d:0x244e09eae45183f,,
佰九海產粥,UIJ/痛風老饕,https://www.google.com/maps/place/%E4%BD%B0%E4%B9%9D%E6%B5%B7%E7%94%A2%E7%B2%A5/data=!4m2!3m1!1s0x346e767c99696ec1:0x13aabebff7568d7a,,
鴻公公越南河粉專賣店,香茅雞/椰香酸辣牛肉河粉/UIJ/痛風老饕,https://www.google.com/maps/place/%E9%B4%BB%E5%85%AC%E5%85%AC%E8%B6%8A%E5%8D%97%E6%B2%B3%E7%B2%89%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m2!3m1!1s0x346e767f370941ad:0xb52503acd694cc23,,
台南‧林家白糖粿 Since 1960,UIJ/痛風老饕,https://www.google.com/maps/place/%E5%8F%B0%E5%8D%97%E2%80%A7%E6%9E%97%E5%AE%B6%E7%99%BD%E7%B3%96%E7%B2%BF+Since+1960/data=!4m2!3m1!1s0x346e767b331a7529:0x14eafbebfbd43dc3,,
宣福居,紅茶/奶茶/痛風老饕,https://www.google.com/maps/place/%E5%AE%A3%E7%A6%8F%E5%B1%85/data=!4m2!3m1!1s0x346e7665aecefca1:0x9eca9863b3d5b95c,,
（原上牛村）四季溫體牛肉鍋,牛肉火鍋/魚冊/香菇丸/徐海莉/痛風老饕,https://www.google.com/maps/place/%EF%BC%88%E5%8E%9F%E4%B8%8A%E7%89%9B%E6%9D%91%EF%BC%89%E5%9B%9B%E5%AD%A3%E6%BA%AB%E9%AB%94%E7%89%9B%E8%82%89%E9%8D%8B/data=!4m2!3m1!1s0x346e770a7238c9e5:0xb1cb7dd2936f66ca,,
阿棠牛肉湯,徐海莉/大蛇丸,https://www.google.com/maps/place/%E9%98%BF%E6%A3%A0%E7%89%9B%E8%82%89%E6%B9%AF/data=!4m2!3m1!1s0x346e767ac5ef0cbd:0x5590c425e1fbb6ab,,
台灣番薯丸-手作地瓜球,地瓜球/其他分店/徐海莉,https://www.google.com/maps/place/%E5%8F%B0%E7%81%A3%E7%95%AA%E8%96%AF%E4%B8%B8-%E6%89%8B%E4%BD%9C%E5%9C%B0%E7%93%9C%E7%90%83/data=!4m2!3m1!1s0x346e768d851e9a9f:0x212668d73f20fce4,,
誠江號麵線,雙蛋麵線/徐海莉,https://www.google.com/maps/place/%E8%AA%A0%E6%B1%9F%E8%99%9F%E9%BA%B5%E7%B7%9A/data=!4m2!3m1!1s0x346e7664c187bd75:0xe3ca17a1de4db42b,,
泰成水果店,水果/冰/徐海莉,https://www.google.com/maps/place/%E6%B3%B0%E6%88%90%E6%B0%B4%E6%9E%9C%E5%BA%97/data=!4m2!3m1!1s0x346e7666e79a1341:0x75ba2d562f6b1b66,,
双生綠豆沙牛奶 Shuànsên beverages （無預訂、無外送、售完會提早休息，最新資訊、休假請依IG、FB為主）,痛風老饕,https://www.google.com/maps/place/%E5%8F%8C%E7%94%9F%E7%B6%A0%E8%B1%86%E6%B2%99%E7%89%9B%E5%A5%B6+Shu%C3%A0ns%C3%AAn+beverages+%EF%BC%88%E7%84%A1%E9%A0%90%E8%A8%82%E3%80%81%E7%84%A1%E5%A4%96%E9%80%81%E3%80%81%E5%94%AE%E5%AE%8C%E6%9C%83%E6%8F%90%E6%97%A9%E4%BC%91%E6%81%AF%EF%BC%8C%E6%9C%80%E6%96%B0%E8%B3%87%E8%A8%8A%E3%80%81%E4%BC%91%E5%81%87%E8%AB%8B%E4%BE%9DIG%E3%80%81FB%E7%82%BA%E4%B8%BB%EF%BC%89/data=!4m2!3m1!1s0x346e76618b8e473f:0x20a3af429da352a4,,
阿興虱目魚,魚皮粥/乾煎魚肚/痛風老饕,https://www.google.com/maps/place/%E9%98%BF%E8%88%88%E8%99%B1%E7%9B%AE%E9%AD%9A/data=!4m2!3m1!1s0x346e765d484e12bb:0x90d05828f2160ca6,,
下大道蘭米糕,米糕/肉燥油條/痛風老饕,https://www.google.com/maps/place/%E4%B8%8B%E5%A4%A7%E9%81%93%E8%98%AD%E7%B1%B3%E7%B3%95/data=!4m2!3m1!1s0x346e767a7e69ce1d:0x2ad2c29ac6c7a4a0,,
輝哥本產牛肉爐,牛肉火鍋/徐海莉,https://www.google.com/maps/place/%E8%BC%9D%E5%93%A5%E6%9C%AC%E7%94%A2%E7%89%9B%E8%82%89%E7%88%90/data=!4m2!3m1!1s0x346e715918044c43:0x802d6313e7a3ba32,,
四草綠色隧道,,https://www.google.com/maps/place/%E5%9B%9B%E8%8D%89%E7%B6%A0%E8%89%B2%E9%9A%A7%E9%81%93/data=!4m2!3m1!1s0x346dd8eb48884fb7:0x8c40b2d752eb0d86,,
U.I.J Hotel & Hostel - 友愛街旅館,,https://www.google.com/maps/place/U.I.J+Hotel+%26+Hostel+-+%E5%8F%8B%E6%84%9B%E8%A1%97%E6%97%85%E9%A4%A8/data=!4m2!3m1!1s0x346e767caf4b3699:0xcae5dddfff864e64,,
台糖長榮酒店 台南,,https://www.google.com/maps/place/%E5%8F%B0%E7%B3%96%E9%95%B7%E6%A6%AE%E9%85%92%E5%BA%97+%E5%8F%B0%E5%8D%97/data=!4m2!3m1!1s0x346e74272028a86f:0x109a32eff7aeb5d6,,
蕃薯厝肉粿仔,肉粿/痛風老饕,https://www.google.com/maps/place/%E8%95%83%E8%96%AF%E5%8E%9D%E8%82%89%E7%B2%BF%E4%BB%94/data=!4m2!3m1!1s0x346e70e93d921485:0xea913fee7c454289,,
莉莉水果店 (外帶自取請用LINE點餐),水果/冰/超級爺爺,https://www.google.com/maps/place/%E8%8E%89%E8%8E%89%E6%B0%B4%E6%9E%9C%E5%BA%97+(%E5%A4%96%E5%B8%B6%E8%87%AA%E5%8F%96%E8%AB%8B%E7%94%A8LINE%E9%BB%9E%E9%A4%90)/data=!4m2!3m1!1s0x346e767d18702b5f:0x9bb838c3a359d903,,
博仁堂(PO-JEN STORE),藥膳雞湯/肉骨茶/,https://www.google.com/maps/place/%E5%8D%9A%E4%BB%81%E5%A0%82(PO-JEN+STORE)/data=!4m2!3m1!1s0x346e7663e20f9661:0x38cf7759d098f256,,
矮仔成蝦仁飯,蝦仁飯/蛤仔湯/超級爺爺,https://www.google.com/maps/place/%E7%9F%AE%E4%BB%94%E6%88%90%E8%9D%A6%E4%BB%81%E9%A3%AF/data=!4m2!3m1!1s0x346e767a42882fc5:0x488e22fdb0ced930,,
