國棟

標題,筆記,網址,標籤,留言
,,,,
雄記蔥抓餅,米其林+必比登,https://www.google.com/maps/place/%E9%9B%84%E8%A8%98%E8%94%A5%E6%8A%93%E9%A4%85/data=!4m2!3m1!1s0x3442a98aea040f57:0xefe154aebdebac9,,
蒸好吃佛跳牆,,https://www.google.com/maps/place/%E8%92%B8%E5%A5%BD%E5%90%83%E4%BD%9B%E8%B7%B3%E7%89%86/data=!4m2!3m1!1s0x3442a9a9a1e2f65d:0xbd78d8fc88499a05,,
麵鄉 安徽淮南牛肉湯,牛肉湯+燒餅,https://www.google.com/maps/place/%E9%BA%B5%E9%84%89+%E5%AE%89%E5%BE%BD%E6%B7%AE%E5%8D%97%E7%89%9B%E8%82%89%E6%B9%AF/data=!4m2!3m1!1s0x3442a9e689be03cb:0xc91b126ca3ca6e83,,
八棟圓仔湯,酒釀芝麻花生湯圓,https://www.google.com/maps/place/%E5%85%AB%E6%A3%9F%E5%9C%93%E4%BB%94%E6%B9%AF/data=!4m2!3m1!1s0x3442a9bb2f7aa5ed:0x699db1ddd17fa30,,
廣州街夜市營養三明治,,https://www.google.com/maps/place/%E5%BB%A3%E5%B7%9E%E8%A1%97%E5%A4%9C%E5%B8%82%E7%87%9F%E9%A4%8A%E4%B8%89%E6%98%8E%E6%B2%BB/data=!4m2!3m1!1s0x3442a929550deacb:0x640de6adefff395f,,
李掌伯（原里長伯麻辣臭豆腐鴨血蚵仔麵線）,綜合麻辣腸旺,https://www.google.com/maps/place/%E6%9D%8E%E6%8E%8C%E4%BC%AF%EF%BC%88%E5%8E%9F%E9%87%8C%E9%95%B7%E4%BC%AF%E9%BA%BB%E8%BE%A3%E8%87%AD%E8%B1%86%E8%85%90%E9%B4%A8%E8%A1%80%E8%9A%B5%E4%BB%94%E9%BA%B5%E7%B7%9A%EF%BC%89/data=!4m2!3m1!1s0x3442a96b39b0fb99:0x13f60e5205635aba,,
鴻記鐵板燒蔥餅捲,泰式打拋燒麵捲,https://www.google.com/maps/place/%E9%B4%BB%E8%A8%98%E9%90%B5%E6%9D%BF%E7%87%92%E8%94%A5%E9%A4%85%E6%8D%B2/data=!4m2!3m1!1s0x3442a96abb05591f:0x3213b8b30c0eac3b,,
魏祥記純糖麻糬,,https://www.google.com/maps/place/%E9%AD%8F%E7%A5%A5%E8%A8%98%E7%B4%94%E7%B3%96%E9%BA%BB%E7%B3%AC/data=!4m2!3m1!1s0x3442a93ee3c33823:0x3fed2da8dd67428b,,
冠魚蛋小屋 士林基河路分店（麻辣魚蛋）,,https://www.google.com/maps/place/%E5%86%A0%E9%AD%9A%E8%9B%8B%E5%B0%8F%E5%B1%8B+%E5%A3%AB%E6%9E%97%E5%9F%BA%E6%B2%B3%E8%B7%AF%E5%88%86%E5%BA%97%EF%BC%88%E9%BA%BB%E8%BE%A3%E9%AD%9A%E8%9B%8B%EF%BC%89/data=!4m2!3m1!1s0x3442afc5d59806cb:0x8e7d6bbb7b2e9b01,,
