標題,筆記,網址,標籤,留言
,,,,
德記土地公黑糖糕,,https://www.google.com/maps/place/%E5%BE%B7%E8%A8%98%E5%9C%9F%E5%9C%B0%E5%85%AC%E9%BB%91%E7%B3%96%E7%B3%95/data=!4m2!3m1!1s0x34692d5224e92fcd:0xae9e9bc0e7e2e516,,
紫南宮阿玲蕃薯店（老店）,,https://www.google.com/maps/place/%E7%B4%AB%E5%8D%97%E5%AE%AE%E9%98%BF%E7%8E%B2%E8%95%83%E8%96%AF%E5%BA%97%EF%BC%88%E8%80%81%E5%BA%97%EF%BC%89/data=!4m2!3m1!1s0x34692d7db6b37db5:0x17dd26de27a79bf3,,
久味大姐手工麻糬中山店,,https://www.google.com/maps/place/%E4%B9%85%E5%91%B3%E5%A4%A7%E5%A7%90%E6%89%8B%E5%B7%A5%E9%BA%BB%E7%B3%AC%E4%B8%AD%E5%B1%B1%E5%BA%97/data=!4m2!3m1!1s0x3469306e7e4cbd15:0x61a5f258e69ab5ac,,
福伯黃金雞,,https://www.google.com/maps/place/%E7%A6%8F%E4%BC%AF%E9%BB%83%E9%87%91%E9%9B%9E/data=!4m2!3m1!1s0x346ed2ad51d217ff:0x22e583f0f794316e,,
35甕缸雞紫南宫店,,https://www.google.com/maps/place/35%E7%94%95%E7%BC%B8%E9%9B%9E%E7%B4%AB%E5%8D%97%E5%AE%AB%E5%BA%97/data=!4m2!3m1!1s0x34692d5211c41287:0xbf6b97167222efc8,,
百年廟口肉圓-竹山鎮,,https://www.google.com/maps/place/%E7%99%BE%E5%B9%B4%E5%BB%9F%E5%8F%A3%E8%82%89%E5%9C%93-%E7%AB%B9%E5%B1%B1%E9%8E%AE/data=!4m2!3m1!1s0x346ecdbf629d3fa7:0x44755dce1ac07b1e,,
竹山煎餃,,https://www.google.com/maps/place/%E7%AB%B9%E5%B1%B1%E7%85%8E%E9%A4%83/data=!4m2!3m1!1s0x346ecdb8afcdfe9b:0x95d81a91e527e6fa,,
淑芬小吃豆皮包鹹菜,,https://www.google.com/maps/place/%E6%B7%91%E8%8A%AC%E5%B0%8F%E5%90%83%E8%B1%86%E7%9A%AE%E5%8C%85%E9%B9%B9%E8%8F%9C/data=!4m2!3m1!1s0x346ecdbf4a9a6121:0x24670a06ee2e9ceb,,
竹山三十年代蕃薯竹筍包,,https://www.google.com/maps/place/%E7%AB%B9%E5%B1%B1%E4%B8%89%E5%8D%81%E5%B9%B4%E4%BB%A3%E8%95%83%E8%96%AF%E7%AB%B9%E7%AD%8D%E5%8C%85/data=!4m2!3m1!1s0x346ecdb80ada870b:0x506858303ecf812e,,
羅家美食,,https://www.google.com/maps/place/%E7%BE%85%E5%AE%B6%E7%BE%8E%E9%A3%9F/data=!4m2!3m1!1s0x34692d523e06bba7:0x5f23fbb17497cd25,,
