標題,筆記,網址,標籤,留言
,,,,
8818 Pizza Restaurant 比薩屋,"夢多 MondoTV
志明/炸雞",https://www.google.com/maps/place/8818+Pizza+Restaurant+%E6%AF%94%E8%96%A9%E5%B1%8B/data=!4m2!3m1!1s0x346e768067800ecb:0x58a1c6513ff4abae,,
銘師父餐廳,賴爸/台式套餐,https://www.google.com/maps/place/%E9%8A%98%E5%B8%AB%E7%88%B6%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x34689f9ea966570d:0x48717f4c2db48308,,
牛老大涮牛肉-高雄總店 /高雄必吃美食/火鍋/必比登推介,ricky&nina 要預訂牛舌,https://www.google.com/maps/place/%E7%89%9B%E8%80%81%E5%A4%A7%E6%B6%AE%E7%89%9B%E8%82%89-%E9%AB%98%E9%9B%84%E7%B8%BD%E5%BA%97+%2F%E9%AB%98%E9%9B%84%E5%BF%85%E5%90%83%E7%BE%8E%E9%A3%9F%2F%E7%81%AB%E9%8D%8B%2F%E5%BF%85%E6%AF%94%E7%99%BB%E6%8E%A8%E4%BB%8B/data=!4m2!3m1!1s0x346e047de299933d:0xa11b81fdb3980b6e,,
助壽司丼 (原文山店團隊),ricky&nina 平價,https://www.google.com/maps/place/%E5%8A%A9%E5%A3%BD%E5%8F%B8%E4%B8%BC+(%E5%8E%9F%E6%96%87%E5%B1%B1%E5%BA%97%E5%9C%98%E9%9A%8A)/data=!4m2!3m1!1s0x346e05d5a0d45001:0x8c548925a35758ac,,
阿男的店牛雜湯,丁特,https://www.google.com/maps/place/%E9%98%BF%E7%94%B7%E7%9A%84%E5%BA%97%E7%89%9B%E9%9B%9C%E6%B9%AF/data=!4m2!3m1!1s0x346c59d6c4f3d279:0x337ae58e6ea397aa,,
阿華漁村海鮮料理,丁特,https://www.google.com/maps/place/%E9%98%BF%E8%8F%AF%E6%BC%81%E6%9D%91%E6%B5%B7%E9%AE%AE%E6%96%99%E7%90%86/data=!4m2!3m1!1s0x346c5af2c99a9f43:0x4b123e317b4a00a,,
來福海鮮餐廳,丁特,https://www.google.com/maps/place/%E4%BE%86%E7%A6%8F%E6%B5%B7%E9%AE%AE%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x346c5aee0f72a46b:0x125bde65d011541d,,
龍星餐廳,丁特,https://www.google.com/maps/place/%E9%BE%8D%E6%98%9F%E9%A4%90%E5%BB%B3/data=!4m2!3m1!1s0x346c5af21b23bb35:0x53ff1fa84fef2ebe,,
合苑餐廳（人氣餐廳、澎湖必吃美食、在地人推薦、特色料理）,丁特,https://www.google.com/maps/place/%E5%90%88%E8%8B%91%E9%A4%90%E5%BB%B3%EF%BC%88%E4%BA%BA%E6%B0%A3%E9%A4%90%E5%BB%B3%E3%80%81%E6%BE%8E%E6%B9%96%E5%BF%85%E5%90%83%E7%BE%8E%E9%A3%9F%E3%80%81%E5%9C%A8%E5%9C%B0%E4%BA%BA%E6%8E%A8%E8%96%A6%E3%80%81%E7%89%B9%E8%89%B2%E6%96%99%E7%90%86%EF%BC%89/data=!4m2!3m1!1s0x346c5aed61f5ac3f:0xd861331323472948,,
澎湖三哥雞排三多店,丁特,https://www.google.com/maps/place/%E6%BE%8E%E6%B9%96%E4%B8%89%E5%93%A5%E9%9B%9E%E6%8E%92%E4%B8%89%E5%A4%9A%E5%BA%97/data=!4m2!3m1!1s0x346c5af33b2cae41:0xf43fe89df7099d7e,,
拾貳鮮 鮮魚湯專賣店,丁特,https://www.google.com/maps/place/%E6%8B%BE%E8%B2%B3%E9%AE%AE+%E9%AE%AE%E9%AD%9A%E6%B9%AF%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m2!3m1!1s0x346c5bdb13004287:0x149df2c23533ea12,,
