標題,筆記,網址,標籤,留言
,,,,
傑理歐法小館 since2004 ｜營業中不方便接聽電話｜不是親子餐廳｜請善用LINE和線上預約系統｜,,https://www.google.com/maps/place/%E5%82%91%E7%90%86%E6%AD%90%E6%B3%95%E5%B0%8F%E9%A4%A8+since2004+%EF%BD%9C%E7%87%9F%E6%A5%AD%E4%B8%AD%E4%B8%8D%E6%96%B9%E4%BE%BF%E6%8E%A5%E8%81%BD%E9%9B%BB%E8%A9%B1%EF%BD%9C%E4%B8%8D%E6%98%AF%E8%A6%AA%E5%AD%90%E9%A4%90%E5%BB%B3%EF%BD%9C%E8%AB%8B%E5%96%84%E7%94%A8LINE%E5%92%8C%E7%B7%9A%E4%B8%8A%E9%A0%90%E7%B4%84%E7%B3%BB%E7%B5%B1%EF%BD%9C/data=!4m2!3m1!1s0x346915024217940d:0x8f3754b8a7965660,,
炯炯特炙牛排,,https://www.google.com/maps/place/%E7%82%AF%E7%82%AF%E7%89%B9%E7%82%99%E7%89%9B%E6%8E%92/data=!4m2!3m1!1s0x34691531e8c345b7:0xcae39e0bc5e52fb1,,
H.YEN,,https://www.google.com/maps/place/H.YEN/data=!4m2!3m1!1s0x3469151c2962160f:0x36f0ee1b398ad3da,,
小赫霜淇淋,,https://www.google.com/maps/place/%E5%B0%8F%E8%B5%AB%E9%9C%9C%E6%B7%87%E6%B7%8B/data=!4m2!3m1!1s0x3469147f00d4cc6d:0xe2ddbb16bd680073,,
清水白燒炸粿,,https://www.google.com/maps/place/%E6%B8%85%E6%B0%B4%E7%99%BD%E7%87%92%E7%82%B8%E7%B2%BF/data=!4m2!3m1!1s0x3469157db1515755:0xb55f572deb8e851b,,
阿財米糕店,,https://www.google.com/maps/place/%E9%98%BF%E8%B2%A1%E7%B1%B3%E7%B3%95%E5%BA%97/data=!4m2!3m1!1s0x3469147ff4525f9b:0x56afc8da156c9f9c,,
王塔米糕店,,https://www.google.com/maps/place/%E7%8E%8B%E5%A1%94%E7%B1%B3%E7%B3%95%E5%BA%97/data=!4m2!3m1!1s0x3469147f78bbdb95:0x7c36b08a6b2f3bf3,,
華得來(清水店),,https://www.google.com/maps/place/%E8%8F%AF%E5%BE%97%E4%BE%86(%E6%B8%85%E6%B0%B4%E5%BA%97)/data=!4m2!3m1!1s0x3469147e10cad041:0x11a6da11bcc8c076,,
老士官擀麵,,https://www.google.com/maps/place/%E8%80%81%E5%A3%AB%E5%AE%98%E6%93%80%E9%BA%B5/data=!4m2!3m1!1s0x34691480c88c07db:0x5103e675c9e93074,,
