標題,筆記,網址,標籤,留言
,,,,
忠貞新村文化園區,,https://www.google.com/maps/place/%E5%BF%A0%E8%B2%9E%E6%96%B0%E6%9D%91%E6%96%87%E5%8C%96%E5%9C%92%E5%8D%80/data=!4m2!3m1!1s0x3468237973bcbd61:0x71ce769cf6b50f0,,
居和熹湯包,,https://www.google.com/maps/place/%E5%B1%85%E5%92%8C%E7%86%B9%E6%B9%AF%E5%8C%85/data=!4m2!3m1!1s0x3442ac617c454577:0x7d1ad4f0afe9aaad,,
阿美米干 旗艦店,,https://www.google.com/maps/place/%E9%98%BF%E7%BE%8E%E7%B1%B3%E5%B9%B2+%E6%97%97%E8%89%A6%E5%BA%97/data=!4m2!3m1!1s0x3468228740b8e437:0x57afddcfc79e7127,,
阿美米干 中壢店,,https://www.google.com/maps/place/%E9%98%BF%E7%BE%8E%E7%B1%B3%E5%B9%B2+%E4%B8%AD%E5%A3%A2%E5%BA%97/data=!4m2!3m1!1s0x3468230034e58693:0xbc79f5ed70770f3f,,
夾子園新竹旗艦店,常設展,https://www.google.com/maps/place/%E5%A4%BE%E5%AD%90%E5%9C%92%E6%96%B0%E7%AB%B9%E6%97%97%E8%89%A6%E5%BA%97/data=!4m2!3m1!1s0x3468351c9a7cfc45:0x5fb528a7d0f4fd4e,,
夾子園 X 彈珠園平鎮旗艦店,常設展,https://www.google.com/maps/place/%E5%A4%BE%E5%AD%90%E5%9C%92+X+%E5%BD%88%E7%8F%A0%E5%9C%92%E5%B9%B3%E9%8E%AE%E6%97%97%E8%89%A6%E5%BA%97/data=!4m2!3m1!1s0x3468230071d9bf51:0x9e3f983b0c109a3d,,
老巷小館,,https://www.google.com/maps/place/%E8%80%81%E5%B7%B7%E5%B0%8F%E9%A4%A8/data=!4m2!3m1!1s0x3468224ba9bd69a3:0x77a25ef921d3835d,,
臺北流行音樂中心文化館,常設展,https://www.google.com/maps/place/%E8%87%BA%E5%8C%97%E6%B5%81%E8%A1%8C%E9%9F%B3%E6%A8%82%E4%B8%AD%E5%BF%83%E6%96%87%E5%8C%96%E9%A4%A8/data=!4m2!3m1!1s0x3442abe922e0b88d:0x7307251b3351acd4,,
莓圃草莓園,"冬天採草莓/偷偷醬/酸辣甜草莓醬
草莓冰沙/草莓披薩",https://www.google.com/maps/place/%E8%8E%93%E5%9C%83%E8%8D%89%E8%8E%93%E5%9C%92/data=!4m2!3m1!1s0x3442acfc2becb07b:0xd96b3b24aa42b4c9,,
內湖 碧山巖,,https://www.google.com/maps/place/%E5%85%A7%E6%B9%96+%E7%A2%A7%E5%B1%B1%E5%B7%96/data=!4m2!3m1!1s0x3442acf97b3f740b:0x1309b487db374c80,,
碧山巖藝文休閒中心,,https://www.google.com/maps/place/%E7%A2%A7%E5%B1%B1%E5%B7%96%E8%97%9D%E6%96%87%E4%BC%91%E9%96%92%E4%B8%AD%E5%BF%83/data=!4m2!3m1!1s0x3442ad8c71d8cb2d:0x7be5c4285489790a,,
小頭什錦海鮮麵粥品（內湖737夜市）,,https://www.google.com/maps/place/%E5%B0%8F%E9%A0%AD%E4%BB%80%E9%8C%A6%E6%B5%B7%E9%AE%AE%E9%BA%B5%E7%B2%A5%E5%93%81%EF%BC%88%E5%85%A7%E6%B9%96737%E5%A4%9C%E5%B8%82%EF%BC%89/data=!4m2!3m1!1s0x3442ad92e528c16d:0xa3e2eb8c153b6a2,,
老家餡餅 內湖737店,,https://www.google.com/maps/place/%E8%80%81%E5%AE%B6%E9%A4%A1%E9%A4%85+%E5%85%A7%E6%B9%96737%E5%BA%97/data=!4m2!3m1!1s0x3442ac63bbf119d5:0x2daea7ed80ed7bb6,,
大陳記古早味麵店,,https://www.google.com/maps/place/%E5%A4%A7%E9%99%B3%E8%A8%98%E5%8F%A4%E6%97%A9%E5%91%B3%E9%BA%B5%E5%BA%97/data=!4m2!3m1!1s0x3442ac63bd91ff93:0x1927755fe916fe20,,
壺茶車 Pot Tea King,,https://www.google.com/maps/place/%E5%A3%BA%E8%8C%B6%E8%BB%8A+Pot+Tea+King/data=!4m2!3m1!1s0x3442ac63c72b17dd:0xbf356255b03abecd,,
芳苑燈塔,,https://www.google.com/maps/place/%E8%8A%B3%E8%8B%91%E7%87%88%E5%A1%94/data=!4m2!3m1!1s0x3469521703395c99:0x3b575e93fb291dd9,,
榕樹下煎餅,,https://www.google.com/maps/place/%E6%A6%95%E6%A8%B9%E4%B8%8B%E7%85%8E%E9%A4%85/data=!4m2!3m1!1s0x34693743aabb3c03:0x3386925bda50a207,,
西海峽灣,,https://www.google.com/maps/place/%E8%A5%BF%E6%B5%B7%E5%B3%BD%E7%81%A3/data=!4m2!3m1!1s0x346952ebe7bd937d:0x28da801109ad93f1,,
台南武廟肉圓,,https://www.google.com/maps/place/%E5%8F%B0%E5%8D%97%E6%AD%A6%E5%BB%9F%E8%82%89%E5%9C%93/data=!4m2!3m1!1s0x346e7663d5b3bac9:0x992fea426d702df0,,
武廟 碳烤三明治,,https://www.google.com/maps/place/%E6%AD%A6%E5%BB%9F+%E7%A2%B3%E7%83%A4%E4%B8%89%E6%98%8E%E6%B2%BB/data=!4m2!3m1!1s0x346e7663d5a343f5:0xe1bc9f88c35fba,,
義豐阿川冬瓜茶,,https://www.google.com/maps/place/%E7%BE%A9%E8%B1%90%E9%98%BF%E5%B7%9D%E5%86%AC%E7%93%9C%E8%8C%B6/data=!4m2!3m1!1s0x346e76618109e70d:0x1361ef9f81330c2e,,
阿興虱目魚,,https://www.google.com/maps/place/%E9%98%BF%E8%88%88%E8%99%B1%E7%9B%AE%E9%AD%9A/data=!4m2!3m1!1s0x346e765d484e12bb:0x90d05828f2160ca6,,
阿美綠豆湯,,https://www.google.com/maps/place/%E9%98%BF%E7%BE%8E%E7%B6%A0%E8%B1%86%E6%B9%AF/data=!4m2!3m1!1s0x346e76959f4ce97d:0x26698cb03b68afd3,,
十鼓文創園區,,https://www.google.com/maps/place/%E5%8D%81%E9%BC%93%E6%96%87%E5%89%B5%E5%9C%92%E5%8D%80/data=!4m2!3m1!1s0x346e74697afd4303:0xe76eda38e5955400,,
BOBO PIZZA 法式披薩專賣店,,https://www.google.com/maps/place/BOBO+PIZZA+%E6%B3%95%E5%BC%8F%E6%8A%AB%E8%96%A9%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m2!3m1!1s0x3467e56cd3a97eb9:0xf615c0b25e3773c7,,
冬山河親水公園,,https://www.google.com/maps/place/%E5%86%AC%E5%B1%B1%E6%B2%B3%E8%A6%AA%E6%B0%B4%E5%85%AC%E5%9C%92/data=!4m2!3m1!1s0x3467ef554a116ed3:0x475d5189ca48fbf7,,
蔥仔寮體驗農場,,https://www.google.com/maps/place/%E8%94%A5%E4%BB%94%E5%AF%AE%E9%AB%94%E9%A9%97%E8%BE%B2%E5%A0%B4/data=!4m2!3m1!1s0x34680a8103a4e1b5:0x39fc2ab37557a8e6,,
嘉福食堂,,https://www.google.com/maps/place/%E5%98%89%E7%A6%8F%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x346835e49b887f6d:0x88594d3d605c72b8,,
