標題,筆記,網址,標籤,留言
,,,,
慶咖哩,,https://www.google.com/maps/place/%E6%85%B6%E5%92%96%E5%93%A9/data=!4m2!3m1!1s0x3468350065c33605:0xc56e2c0f6a7dab5f,,
彭家粄糕,,https://www.google.com/maps/place/%E5%BD%AD%E5%AE%B6%E7%B2%84%E7%B3%95/data=!4m2!3m1!1s0x346848952542933b:0xf7ba61d722850629,,
皿富器食 minfood,,https://www.google.com/maps/place/%E7%9A%BF%E5%AF%8C%E5%99%A8%E9%A3%9F+minfood/data=!4m2!3m1!1s0x346835bd3587d5a5:0x3511f4090f4076a8,,
PASTA de SHOW/CURRY de SHOW義大利生麵廚房北大店,,https://www.google.com/maps/place/PASTA+de+SHOW%2FCURRY+de+SHOW%E7%BE%A9%E5%A4%A7%E5%88%A9%E7%94%9F%E9%BA%B5%E5%BB%9A%E6%88%BF%E5%8C%97%E5%A4%A7%E5%BA%97/data=!4m2!3m1!1s0x346835ad93138add:0xbb8cc60c4f0674c0,,
Jim’s Food,,https://www.google.com/maps/place/Jim%E2%80%99s+Food/data=!4m2!3m1!1s0x34683500608edfd9:0x128edb0662e9c163,,
客園麵食館,番茄蛋花麵,https://www.google.com/maps/place/%E5%AE%A2%E5%9C%92%E9%BA%B5%E9%A3%9F%E9%A4%A8/data=!4m2!3m1!1s0x346835db19e86ea5:0x36c6482f3eec663,,
好食味 藥燉排骨／ 滷肉飯／赤肉羹蚵仔麵線／芋頭鹹粥,,https://www.google.com/maps/place/%E5%A5%BD%E9%A3%9F%E5%91%B3+%E8%97%A5%E7%87%89%E6%8E%92%E9%AA%A8%EF%BC%8F+%E6%BB%B7%E8%82%89%E9%A3%AF%EF%BC%8F%E8%B5%A4%E8%82%89%E7%BE%B9%E8%9A%B5%E4%BB%94%E9%BA%B5%E7%B7%9A%EF%BC%8F%E8%8A%8B%E9%A0%AD%E9%B9%B9%E7%B2%A5/data=!4m2!3m1!1s0x346835b87c4d8513:0xc7a9de40da1cf3bd,,
凱迪比薩,,https://www.google.com/maps/place/%E5%87%B1%E8%BF%AA%E6%AF%94%E8%96%A9/data=!4m2!3m1!1s0x3468357322c6104d:0x7f47235016521de0,,
白日夢pasta-新竹美食,,https://www.google.com/maps/place/%E7%99%BD%E6%97%A5%E5%A4%A2pasta-%E6%96%B0%E7%AB%B9%E7%BE%8E%E9%A3%9F/data=!4m2!3m1!1s0x346835a0a47170e5:0x36ef1d0666e58069,,
福氣中卷麵線,,https://www.google.com/maps/place/%E7%A6%8F%E6%B0%A3%E4%B8%AD%E5%8D%B7%E9%BA%B5%E7%B7%9A/data=!4m2!3m1!1s0x346835006b60203b:0x3a9964cfa07ed634,,
瑪咭廚房,,https://www.google.com/maps/place/%E7%91%AA%E5%92%AD%E5%BB%9A%E6%88%BF/data=!4m2!3m1!1s0x346835c994786743:0xb0127b72c25f8c3a,,
靜岡勝政日式豬排-新竹巨城店,,https://www.google.com/maps/place/%E9%9D%9C%E5%B2%A1%E5%8B%9D%E6%94%BF%E6%97%A5%E5%BC%8F%E8%B1%AC%E6%8E%92-%E6%96%B0%E7%AB%B9%E5%B7%A8%E5%9F%8E%E5%BA%97/data=!4m2!3m1!1s0x346835003633a62f:0x3585ef85785848a3,,
荷竹園,,https://www.google.com/maps/place/%E8%8D%B7%E7%AB%B9%E5%9C%92/data=!4m2!3m1!1s0x346835cbb547fc95:0x5c6352ae488dce68,,
成大器烤肉飯 北大店,,https://www.google.com/maps/place/%E6%88%90%E5%A4%A7%E5%99%A8%E7%83%A4%E8%82%89%E9%A3%AF+%E5%8C%97%E5%A4%A7%E5%BA%97/data=!4m2!3m1!1s0x346835478b78523d:0x1acfb47f97dde1e3,,
大無敵烤肉飯-新竹東門店,,https://www.google.com/maps/place/%E5%A4%A7%E7%84%A1%E6%95%B5%E7%83%A4%E8%82%89%E9%A3%AF-%E6%96%B0%E7%AB%B9%E6%9D%B1%E9%96%80%E5%BA%97/data=!4m2!3m1!1s0x3468357d71c26299:0xed44a31a0159e059,,
吉瓦黑輪 tsi̍t uánn oden (無提供洗手間)忙碌時無接聽電話,,https://www.google.com/maps/place/%E5%90%89%E7%93%A6%E9%BB%91%E8%BC%AA+tsi%CC%8Dt+u%C3%A1nn+oden+(%E7%84%A1%E6%8F%90%E4%BE%9B%E6%B4%97%E6%89%8B%E9%96%93)%E5%BF%99%E7%A2%8C%E6%99%82%E7%84%A1%E6%8E%A5%E8%81%BD%E9%9B%BB%E8%A9%B1/data=!4m2!3m1!1s0x346835007d014085:0xb859cbd994546689,,
慕特牛排竹北店,,https://www.google.com/maps/place/%E6%85%95%E7%89%B9%E7%89%9B%E6%8E%92%E7%AB%B9%E5%8C%97%E5%BA%97/data=!4m2!3m1!1s0x3468369332eef439:0x55c28916400635fa,,
大嶼四國烏龍麵 竹蓮市場,,https://www.google.com/maps/place/%E5%A4%A7%E5%B6%BC%E5%9B%9B%E5%9C%8B%E7%83%8F%E9%BE%8D%E9%BA%B5+%E7%AB%B9%E8%93%AE%E5%B8%82%E5%A0%B4/data=!4m2!3m1!1s0x3468352a0215de95:0x9d4ae47ae71488ce,,
噴火美式炭烤牛排,,https://www.google.com/maps/place/%E5%99%B4%E7%81%AB%E7%BE%8E%E5%BC%8F%E7%82%AD%E7%83%A4%E7%89%9B%E6%8E%92/data=!4m2!3m1!1s0x346835bb02abb1d9:0xd417d09e4380bd1b,,
泰蝦小棧活蝦料理（售完會提早打烊，建議來電詢問）,,https://www.google.com/maps/place/%E6%B3%B0%E8%9D%A6%E5%B0%8F%E6%A3%A7%E6%B4%BB%E8%9D%A6%E6%96%99%E7%90%86%EF%BC%88%E5%94%AE%E5%AE%8C%E6%9C%83%E6%8F%90%E6%97%A9%E6%89%93%E7%83%8A%EF%BC%8C%E5%BB%BA%E8%AD%B0%E4%BE%86%E9%9B%BB%E8%A9%A2%E5%95%8F%EF%BC%89/data=!4m2!3m1!1s0x346835005e927763:0x60101e03a724a0f2,,
山下食堂,,https://www.google.com/maps/place/%E5%B1%B1%E4%B8%8B%E9%A3%9F%E5%A0%82/data=!4m2!3m1!1s0x346835d48a0b2fd1:0x85ed692acd3d2757,,
PINOCOCO 皮諾可可,,https://www.google.com/maps/place/PINOCOCO+%E7%9A%AE%E8%AB%BE%E5%8F%AF%E5%8F%AF/data=!4m2!3m1!1s0x34693deaffffffff:0x840b460170493f30,,
新竹喜食廚房,,https://www.google.com/maps/place/%E6%96%B0%E7%AB%B9%E5%96%9C%E9%A3%9F%E5%BB%9A%E6%88%BF/data=!4m2!3m1!1s0x346835c21037de1d:0xc9b387f23d09e4e7,,
